tempo_ms,angulo_deg,u_pct,referencia
12,0.38,-7.78,0.00
23,0.38,-0.21,0.00
33,0.38,-0.19,0.00
43,0.38,-0.24,0.00
53,0.37,-0.18,0.00
63,0.37,-0.13,0.00
73,0.37,-0.20,0.00
83,0.37,-0.22,0.00
93,0.37,-0.25,0.00
103,0.37,-0.20,0.00
113,0.37,-0.24,0.00
123,0.37,-0.23,0.00
133,0.37,-0.25,0.00
143,0.36,-0.21,0.00
153,0.36,-0.19,0.00
163,0.36,-0.23,0.00
173,0.36,-0.28,0.00
183,0.36,-0.20,0.00
194,0.36,-0.21,0.00
203,0.36,-0.20,0.00
213,0.35,-0.23,0.00
223,0.35,-0.20,0.00
234,0.35,-0.24,0.00
243,0.35,-0.25,0.00
253,0.35,-0.30,0.00
263,0.35,-0.30,0.00
273,0.36,-0.30,0.00
284,0.35,-0.25,0.00
293,0.35,-0.23,0.00
303,0.35,-0.24,0.00
313,0.35,-0.31,0.00
324,0.35,-0.29,0.00
333,0.35,-0.18,0.00
343,0.35,-0.25,0.00
353,0.35,-0.28,0.00
364,0.34,-0.21,0.00
374,0.34,-0.23,0.00
383,0.34,-0.27,0.00
393,0.34,-0.29,0.00
404,0.34,-0.34,0.00
414,0.34,-0.29,0.00
423,0.34,-0.27,0.00
433,0.34,-0.29,0.00
443,0.34,-0.28,0.00
454,0.34,-0.26,0.00
464,0.34,-0.30,0.00
473,0.34,-0.32,0.00
483,0.34,-0.30,0.00
494,0.34,-0.28,0.00
504,0.33,-0.28,0.00
513,0.33,-0.28,0.00
523,0.33,-0.28,0.00
534,0.33,-0.22,0.00
544,0.33,-0.34,0.00
554,0.33,-0.38,0.00
563,0.33,-0.27,0.00
574,0.33,-0.35,0.00
584,0.33,-0.34,0.00
594,0.33,-0.38,0.00
603,0.33,-0.31,0.00
613,0.33,-0.27,0.00
624,0.33,-0.36,0.00
634,0.33,-0.34,0.00
644,0.33,-0.29,0.00
653,0.33,-0.31,0.00
664,0.33,-0.32,0.00
674,0.33,-0.36,0.00
684,0.33,-0.37,0.00
693,0.33,-0.32,0.00
704,0.33,-0.39,0.00
714,0.33,-0.37,0.00
724,0.33,-0.36,0.00
734,0.33,-0.35,0.00
743,0.33,-0.38,0.00
754,0.33,-0.40,0.00
764,0.33,-0.34,0.00
774,0.33,-0.38,0.00
783,0.33,-0.37,0.00
794,0.33,-0.41,0.00
804,0.33,-0.38,0.00
814,0.33,-0.37,0.00
824,0.33,-0.30,0.00
834,0.33,-0.39,0.00
844,0.33,-0.41,0.00
854,0.33,-0.34,0.00
864,0.33,-0.36,0.00
875,0.33,-0.36,0.00
884,0.33,-0.42,0.00
894,0.33,-0.42,0.00
904,0.33,-0.42,0.00
914,0.33,-0.41,0.00
924,0.33,-0.40,0.00
934,0.33,-0.37,0.00
944,0.33,-0.33,0.00
954,0.32,-0.35,0.00
965,0.32,-0.43,0.00
974,0.33,-0.44,0.00
984,0.33,-0.42,0.00
994,0.32,-0.37,0.00
1005,0.32,-0.39,0.00
1014,0.32,-0.43,0.00
1024,0.32,-0.40,0.00
1034,0.32,-0.39,0.00
1045,0.32,-0.45,0.00
1055,0.32,-0.41,0.00
1064,0.32,-0.35,0.00
1074,0.32,-0.46,0.00
1084,0.32,-0.52,0.00
1095,0.32,-0.43,0.00
1104,0.32,-0.37,0.00
1114,0.32,-0.42,0.00
1124,0.32,-0.46,0.00
1135,0.32,-0.48,0.00
1145,0.32,-0.40,0.00
1154,0.32,-0.45,0.00
1164,0.32,-0.42,0.00
1175,0.32,-0.41,0.00
1185,0.32,-0.43,0.00
1194,0.32,-0.45,0.00
1204,0.32,-0.40,0.00
1215,0.31,-0.44,0.00
1225,0.31,-0.42,0.00
1235,0.31,-0.47,0.00
1244,0.32,-0.51,0.00
1254,0.32,-0.48,0.00
1265,0.31,-0.41,0.00
1275,0.31,-0.41,0.00
1285,0.31,-0.52,0.00
1294,0.32,-0.51,0.00
1305,0.32,-0.53,0.00
1315,0.32,-0.49,0.00
1325,0.32,-0.53,0.00
1334,0.32,-0.52,0.00
1345,0.32,-0.49,0.00
1355,0.33,-0.52,0.00
1365,0.33,-0.52,0.00
1375,0.33,-0.53,0.00
1385,0.33,-0.57,0.00
1395,0.33,-0.47,0.00
1405,0.34,-0.60,0.00
