tempo_ms,angulo_deg,u_pct,referencia
12,0.41,-8.48,0.00
22,0.41,-0.23,0.00
32,0.41,-0.20,0.00
43,0.40,-0.15,0.00
52,0.40,-0.25,0.00
62,0.40,-0.21,0.00
72,0.40,-0.22,0.00
83,0.40,-0.26,0.00
92,0.40,-0.26,0.00
102,0.40,-0.27,0.00
112,0.40,-0.25,0.00
123,0.40,-0.27,0.00
133,0.40,-0.24,0.00
142,0.40,-0.24,0.00
152,0.40,-0.23,0.00
162,0.40,-0.27,0.00
173,0.40,-0.28,0.00
182,0.40,-0.29,0.00
192,0.40,-0.28,0.00
202,0.40,-0.24,0.00
213,0.40,-0.28,0.00
222,0.40,-0.30,0.00
232,0.40,-0.29,0.00
242,0.40,-0.35,0.00
253,0.40,-0.26,0.00
263,0.40,-0.30,0.00
272,0.40,-0.29,0.00
282,0.40,-0.35,0.00
293,0.40,-0.32,0.00
303,0.40,-0.33,0.00
313,0.40,-0.30,0.00
322,0.40,-0.35,0.00
332,0.40,-0.35,0.00
343,0.41,-0.34,0.00
353,0.40,-0.30,0.00
362,0.40,-0.29,0.00
372,0.40,-0.34,0.00
383,0.40,-0.30,0.00
393,0.40,-0.32,0.00
403,0.40,-0.31,0.00
412,0.40,-0.40,0.00
423,0.40,-0.35,0.00
433,0.40,-0.29,0.00
443,0.40,-0.38,0.00
452,0.40,-0.39,0.00
462,0.40,-0.31,0.00
473,0.40,-0.34,0.00
483,0.40,-0.33,0.00
493,0.40,-0.40,0.00
502,0.40,-0.34,0.00
513,0.40,-0.39,0.00
523,0.40,-0.35,0.00
533,0.40,-0.37,0.00
542,0.40,-0.36,0.00
553,0.40,-0.31,0.00
563,0.40,-0.35,0.00
573,0.39,-0.37,0.00
583,0.40,-0.39,0.00
593,0.40,-0.43,0.00
603,0.40,-0.35,0.00
613,0.40,-0.45,0.00
623,0.40,-0.38,0.00
632,0.40,-0.38,0.00
643,0.40,-0.38,0.00
653,0.40,-0.38,0.00
663,0.40,-0.41,0.00
672,0.40,-0.41,0.00
683,0.40,-0.41,0.00
693,0.40,-0.43,0.00
703,0.40,-0.43,0.00
713,0.40,-0.41,0.00
723,0.40,-0.38,0.00
733,0.39,-0.38,0.00
743,0.39,-0.41,0.00
753,0.39,-0.46,0.00
764,0.39,-0.44,0.00
773,0.40,-0.50,0.00
783,0.40,-0.45,0.00
793,0.40,-0.47,0.00
803,0.40,-0.43,0.00
813,0.40,-0.48,0.00
823,0.40,-0.48,0.00
833,0.40,-0.43,0.00
843,0.40,-0.37,0.00
853,0.40,-0.42,0.00
863,0.40,-0.47,0.00
873,0.40,-0.45,0.00
883,0.39,-0.43,0.00
894,0.40,-0.49,0.00
903,0.40,-0.47,0.00
913,0.40,-0.49,0.00
923,0.40,-0.47,0.00
934,0.40,-0.46,0.00
943,0.40,-0.47,0.00
953,0.39,-0.43,0.00
963,0.39,-0.42,0.00
973,0.39,-0.54,0.00
984,0.39,-0.49,0.00
993,0.39,-0.48,0.00
1003,0.39,-0.50,0.00
1013,0.39,-0.49,0.00
1024,0.39,-0.48,0.00
1033,0.39,-0.49,0.00
1043,0.39,-0.48,0.00
1053,0.39,-0.55,0.00
1064,0.39,-0.52,0.00
1074,0.39,-0.55,0.00
1083,0.40,-0.56,0.00
1093,0.40,-0.54,0.00
1104,0.40,-0.52,0.00
1114,0.40,-0.53,0.00
1124,0.40,-0.56,0.00
1133,0.40,-0.55,0.00
1143,0.40,-0.56,0.00
1154,0.40,-0.55,0.00
1164,0.40,-0.50,0.00
1173,0.40,-0.50,0.00
1183,0.40,-0.53,0.00
1194,0.40,-0.56,0.00
1204,0.40,-0.56,0.00
1214,0.40,-0.62,0.00
1223,0.41,-0.61,0.00
1234,0.41,-0.57,0.00
1244,0.41,-0.58,0.00
1254,0.41,-0.54,0.00
1263,0.41,-0.56,0.00
1273,0.41,-0.60,0.00
1284,0.41,-0.54,0.00
1294,0.41,-0.62,0.00
1304,0.41,-0.59,0.00
1313,0.41,-0.60,0.00
1324,0.41,-0.51,0.00
1334,0.40,-0.52,0.00
1344,0.40,-0.56,0.00
1353,0.40,-0.59,0.00
1364,0.40,-0.57,0.00
1374,0.40,-0.62,0.00
1384,0.40,-0.56,0.00
1394,0.39,-0.51,0.00
1404,0.39,-0.56,0.00
1414,0.39,-0.57,0.00
1424,0.39,-0.58,0.00
1434,0.39,-0.57,0.00
1445,0.39,-0.58,0.00
1454,0.39,-0.59,0.00
1464,0.39,-0.59,0.00
1474,0.39,-0.61,0.00
1484,0.39,-0.67,0.00
1494,0.39,-0.64,0.00
1504,0.39,-0.56,0.00
1514,0.39,-0.61,0.00
1524,0.39,-0.66,0.00
1535,0.39,-0.65,0.00
1544,0.39,-0.68,0.00
1554,0.39,-0.69,0.00
1564,0.40,-0.68,0.00
1575,0.40,-0.65,0.00
1584,0.40,-0.63,0.00
1594,0.40,-0.65,0.00
1604,0.40,-0.68,0.00
1614,0.40,-0.72,0.00
1625,0.40,-0.71,0.00
1634,0.40,-0.71,0.00
1644,0.41,-0.71,0.00
1654,0.41,-0.72,0.00
1665,0.41,-0.73,0.00
1674,0.41,-0.71,0.00
1684,0.41,-0.65,0.00
1694,0.41,-0.68,0.00
1705,0.41,-0.67,0.00
1715,0.41,-0.73,0.00
1724,0.41,-0.70,0.00
1734,0.41,-0.72,0.00
1745,0.41,-0.71,0.00
1755,0.42,-0.74,0.00
1764,0.42,-0.70,0.00
1774,0.41,-0.66,0.00
1784,0.41,-0.70,0.00
1795,0.41,-0.68,0.00
1805,0.41,-0.72,0.00
1814,0.41,-0.70,0.00
1824,0.41,-0.70,0.00
1835,0.41,-0.66,0.00
1845,0.41,-0.69,0.00
1854,0.40,-0.72,0.00
1864,0.41,-0.76,0.00
1875,0.41,-0.74,0.00
1885,0.41,-0.70,0.00
1895,0.41,-0.74,0.00
1904,0.40,-0.69,0.00
1915,0.40,-0.70,0.00
1925,0.40,-0.71,0.00
1935,0.40,-0.76,0.00
1944,0.40,-0.76,0.00
1954,0.40,-0.77,0.00
1965,0.40,-0.72,0.00
1975,0.40,-0.72,0.00
1985,0.40,-0.75,0.00
1994,0.40,-0.77,0.00
2005,0.40,-0.75,0.00
2015,0.40,-0.71,0.00
2025,0.40,-0.77,0.00
2034,0.39,-0.74,0.00
2045,0.39,-0.74,0.00
2055,0.39,-0.78,0.00
2065,0.39,-0.79,0.00
2075,0.40,-0.81,0.00
