tempo_ms,angulo_deg,u_pct,referencia
13,-1.41,29.10,0.00
23,-1.42,0.89,0.00
32,-1.42,0.86,0.00
42,-1.42,0.93,0.00
52,-1.42,0.90,0.00
63,-1.42,0.84,0.00
73,-1.42,0.93,0.00
82,-1.42,0.87,0.00
92,-1.42,0.94,0.00
103,-1.43,1.02,0.00
113,-1.43,0.95,0.00
122,-1.43,0.96,0.00
132,-1.43,0.97,0.00
143,-1.43,0.97,0.00
153,-1.43,1.00,0.00
163,-1.44,1.06,0.00
172,-1.44,1.04,0.00
183,-1.44,1.04,0.00
193,-1.44,1.02,0.00
203,-1.44,1.01,0.00
213,-1.44,1.03,0.00
222,-1.44,1.09,0.00
233,-1.44,1.05,0.00
243,-1.44,1.09,0.00
253,-1.44,1.04,0.00
262,-1.44,1.07,0.00
273,-1.44,1.12,0.00
283,-1.45,1.13,0.00
293,-1.45,1.11,0.00
303,-1.45,1.21,0.00
313,-1.45,1.15,0.00
323,-1.45,1.20,0.00
333,-1.45,1.13,0.00
343,-1.45,1.20,0.00
354,-1.46,1.18,0.00
363,-1.46,1.19,0.00
373,-1.46,1.20,0.00
383,-1.46,1.27,0.00
393,-1.46,1.25,0.00
403,-1.46,1.25,0.00
413,-1.46,1.26,0.00
423,-1.47,1.28,0.00
433,-1.47,1.32,0.00
444,-1.47,1.30,0.00
453,-1.47,1.32,0.00
463,-1.47,1.29,0.00
473,-1.47,1.34,0.00
484,-1.48,1.35,0.00
493,-1.48,1.34,0.00
503,-1.48,1.35,0.00
513,-1.48,1.38,0.00
524,-1.48,1.36,0.00
534,-1.48,1.40,0.00
543,-1.48,1.36,0.00
553,-1.48,1.43,0.00
563,-1.48,1.39,0.00
574,-1.48,1.38,0.00
584,-1.48,1.40,0.00
593,-1.48,1.46,0.00
603,-1.48,1.44,0.00
614,-1.48,1.46,0.00
624,-1.49,1.50,0.00
633,-1.48,1.40,0.00
643,-1.49,1.53,0.00
654,-1.49,1.47,0.00
664,-1.49,1.49,0.00
674,-1.48,1.42,0.00
683,-1.48,1.49,0.00
694,-1.48,1.45,0.00
704,-1.48,1.52,0.00
714,-1.48,1.53,0.00
724,-1.47,1.50,0.00
733,-1.47,1.53,0.00
744,-1.47,1.56,0.00
754,-1.47,1.57,0.00
764,-1.47,1.61,0.00
773,-1.47,1.57,0.00
784,-1.47,1.60,0.00
794,-1.47,1.63,0.00
804,-1.47,1.66,0.00
814,-1.48,1.68,0.00
824,-1.48,1.65,0.00
834,-1.48,1.65,0.00
844,-1.48,1.68,0.00
854,-1.48,1.67,0.00
863,-1.48,1.67,0.00
874,-1.48,1.79,0.00
884,-1.48,1.74,0.00
894,-1.48,1.74,0.00
904,-1.48,1.70,0.00
914,-1.48,1.75,0.00
924,-1.49,1.78,0.00
934,-1.48,1.73,0.00
944,-1.48,1.77,0.00
954,-1.49,1.80,0.00
964,-1.49,1.82,0.00
974,-1.49,1.84,0.00
984,-1.49,1.87,0.00
995,-1.49,1.82,0.00
1004,-1.49,1.83,0.00
1014,-1.49,1.80,0.00
1024,-1.49,1.80,0.00
1035,-1.49,1.86,0.00
1044,-1.49,1.84,0.00
1054,-1.48,1.86,0.00
1064,-1.48,1.89,0.00
1074,-1.49,1.91,0.00
1085,-1.48,1.85,0.00
1094,-1.48,1.87,0.00
1104,-1.48,1.91,0.00
1114,-1.48,1.90,0.00
1125,-1.48,1.94,0.00
1135,-1.48,1.97,0.00
1144,-1.48,1.98,0.00
1154,-1.48,1.96,0.00
1165,-1.48,2.02,0.00
1175,-1.48,1.93,0.00
1184,-1.48,1.97,0.00
1194,-1.48,2.00,0.00
1204,-1.48,2.05,0.00
1215,-1.48,2.02,0.00
1225,-1.48,2.03,0.00
1234,-1.48,2.06,0.00
1244,-1.48,2.04,0.00
1255,-1.47,2.03,0.00
1265,-1.48,2.13,0.00
1274,-1.48,2.08,0.00
1284,-1.48,2.12,0.00
1295,-1.48,2.10,0.00
1305,-1.48,2.15,0.00
1315,-1.48,2.17,0.00
1324,-1.48,2.19,0.00
1335,-1.49,2.21,0.00
1345,-1.49,2.19,0.00
1355,-1.49,2.20,0.00
1364,-1.49,2.19,0.00
1374,-1.49,2.18,0.00
1385,-1.49,2.16,0.00
1395,-1.49,2.22,0.00
1405,-1.49,2.25,0.00
1414,-1.49,2.25,0.00
1425,-1.49,2.24,0.00
1435,-1.49,2.27,0.00
1445,-1.49,2.31,0.00
1454,-1.49,2.31,0.00
1465,-1.49,2.30,0.00
1475,-1.49,2.25,0.00
1485,-1.49,2.23,0.00
1495,-1.49,2.30,0.00
1505,-1.49,2.32,0.00
1515,-1.49,2.29,0.00
1525,-1.48,2.29,0.00
1535,-1.48,2.30,0.00
1545,-1.48,2.38,0.00
1555,-1.48,2.43,0.00
