Tempo_s,Referencia,Saida_y,Controle_u
0.0,0.0,1.43,-0.8554826200000001
0.01,0.0,1.41,-0.24770853499999945
0.02,0.0,1.37,-0.44556127499999965
0.03,0.0,1.35,-0.03162860500000386
0.04,0.0,1.33,-0.42908252499999966
0.05,0.0,1.31,-0.4264035049999997
0.06,0.0,1.3,-0.42359154499999974
0.07,0.0,1.28,-0.6264728799999999
0.08,0.0,1.27,-0.42346150999999965
0.09,0.0,1.25,-0.6261434349999998
0.1,0.0,1.24,-0.42293265499999966
0.11,0.0,1.22,-0.6254151699999999
0.12,0.0,1.21,-0.42200497999999964
0.13,0.0,1.17,-0.6242880849999999
0.14,0.0,1.16,-0.009026014999999221
0.15,0.0,1.14,-0.6109767699999998
0.16,0.0,1.13,-0.4070348199999996
0.17,0.0,1.12,-0.6087861649999998
0.18,0.0,1.11,-0.6104710400000043
0.19,0.0,1.1,-0.612089445
0.2,0.0,1.09,-0.6136413799999999
0.21,0.0,1.08,-0.615126845
0.22,0.0,1.07,-0.6165458399999999
0.23,0.0,1.05,-0.6178983649999998
0.24,0.0,1.04,-0.41335818499999977
0.25,0.0,1.03,-0.6145112999999999
0.26,0.0,1.03,-0.615597945
0.27,0.0,1.02,-0.8224443550000001
0.28,0.0,1.0,-0.6234645299999999
0.29,0.0,1.0,-0.41859199999999974
0.3,0.0,0.99,-0.8252390000000001
0.31,0.0,0.98,-0.6260597649999998
0.32,0.0,0.97,-0.6268140599999998
0.33,0.0,0.96,-0.6275018849999998
0.34,0.0,0.95,-0.6281232399999999
0.35000000000000003,0.0,0.94,-0.6286781249999999
0.36,0.0,0.93,-0.6291665399999998
0.37,0.0,0.92,-0.6295884850000022
0.38,0.0,0.92,-0.62994396
0.39,0.0,0.91,-0.8360592000000002
0.4,0.0,0.91,-0.636348205
0.41000000000000003,0.0,0.9,-0.8423969750000001
0.42,0.0,0.89,-0.6426195099999998
0.43,0.0,0.89,-0.6427755749999999
0.44,0.0,0.88,-0.8486914050000001
0.45,0.0,0.87,-0.6487809999999998
0.46,0.0,0.86,-0.648804125
0.47000000000000003,0.0,0.86,-0.6487607799999999
0.48,0.0,0.85,-0.8544772
0.49,0.0,0.84,-0.6543673849999999
0.5,0.0,0.84,-0.6541910999999998
0.51,0.0,0.83,-0.8597745800000001
0.52,0.0,0.83,-0.6595318249999998
0.53,0.0,0.83,-0.8650488350000001
0.54,0.0,0.82,-0.870565845
0.55,0.0,0.82,-0.6702566199999999
0.56,0.0,0.81,-0.87570716
0.5700000000000001,0.0,0.81,-0.6753314650000022
0.58,0.0,0.79,-0.8807155350000001
0.59,0.0,0.78,-0.4744471349999997
0.6,0.0,0.78,-0.6738720299999998
0.61,0.0,0.78,-0.8790566900000001
0.62,0.0,0.77,-0.8842413500000001
0.63,0.0,0.76,-0.6835997749999999
0.64,0.0,0.76,-0.6828917299999999
0.65,0.0,0.76,-0.8879434500000001
0.66,0.0,0.75,-0.8929951700000001
0.67,0.0,0.74,-0.6922206549999999
0.68,0.0,0.73,-0.6913796699999999
0.6900000000000001,0.0,0.72,-0.6904722149999998
0.7000000000000001,0.0,0.72,-0.6894982899999998
0.71,0.0,0.71,-0.89428413
0.72,0.0,0.71,-0.6932437349999998
0.73,0.0,0.71,-0.8979631050000001
0.74,0.0,0.71,-0.902682475
0.75,0.0,0.7,-0.9074018450000001
0.76,0.0,0.7,-0.7062949799999998
0.77,0.0,0.69,-0.9109478799999999
0.78,0.0,0.69,-0.7097745449999998
0.79,0.0,0.69,-0.914360975
0.8,0.0,0.69,-0.918947405
0.81,0.0,0.68,-0.9235338350000001
0.8200000000000001,0.0,0.68,-0.7222940300000021
0.8300000000000001,0.0,0.68,-0.9268139900000001
0.84,0.0,0.68,-0.9313339500000001
0.85,0.0,0.67,-0.9358539100000001
0.86,0.0,0.67,-0.734547635
0.87,0.0,0.66,-0.9390011250000001
0.88,0.0,0.66,-0.7376283799999999
0.89,0.0,0.66,-0.9420154000000001
0.9,0.0,0.65,-0.9464024200000001
0.91,0.0,0.65,-0.7449632049999999
0.92,0.0,0.65,-0.9492837550000001
0.93,0.0,0.64,-0.953604305
0.9400000000000001,0.0,0.64,-0.7520986199999999
0.9500000000000001,0.0,0.64,-0.9563527000000001
0.96,0.0,0.63,-0.9606067800000002
0.97,0.0,0.62,-0.759034625
0.98,0.0,0.62,-0.757396
0.99,0.0,0.62,-0.9615171400000002
1.0,0.0,0.61,-0.9656382800000001
1.01,0.0,0.61,-0.763933185
1.02,0.0,0.61,-0.9679878550000001
1.03,0.0,0.61,-0.9720425250000002
1.04,0.0,0.61,-0.9760971950000001
1.05,0.0,0.61,-0.9801518650000003
1.06,0.0,0.61,-0.9842065350000002
1.07,0.0,0.61,-0.9882612050000004
1.08,0.0,0.6,-0.9923158750000003
1.09,0.0,0.6,-0.7905443100000001
1.1,0.0,0.59,-0.9945325100000003
1.11,0.0,0.59,-0.7926944750000002
1.12,0.0,0.59,-0.9966162050000003
1.1300000000000001,0.0,0.59,-1.0005379350000003
1.1400000000000001,0.0,0.59,-1.0044596650000002
1.1500000000000001,0.0,0.6,-1.0083813950000002
1.16,0.0,0.6,-1.2181293600000003
1.17,0.0,0.6,-1.0221175600000003
1.18,0.0,0.6,-1.02610576
1.19,0.0,0.6,-1.0300939600000003
1.2,0.0,0.6,-1.03408216
1.21,0.0,0.59,-1.0380703600000003
1.22,0.0,0.59,-0.8362323250000001
1.23,0.0,0.59,-1.0401540550000001
1.24,0.0,0.59,-1.0440757850000002
1.25,0.0,0.59,-1.047997515
1.26,0.0,0.59,-1.0519192450000001
1.27,0.0,0.59,-1.055840975
1.28,0.0,0.59,-1.059762705
1.29,0.0,0.58,-1.0636844349999999
1.3,0.0,0.57,-0.8617799299999997
1.31,0.0,0.57,-0.8598089549999997
1.32,0.0,0.57,-1.0635977449999998
1.33,0.0,0.57,-1.0673865349999998
1.34,0.0,0.57,-1.0711753249999998
1.35,0.0,0.57,-1.0749641149999998
1.36,0.0,0.57,-1.0787529049999998
1.37,0.0,0.57,-1.0825416949999997
1.3800000000000001,0.0,0.56,-1.0863304849999997
1.3900000000000001,0.0,0.56,-0.884293040000002
1.4000000000000001,0.0,0.56,-1.0880153599999998
1.41,0.0,0.56,-1.0917376799999996
1.42,0.0,0.56,-1.0954599999999997
1.43,0.0,0.56,-1.0991823199999997
1.44,0.0,0.55,-1.1029046399999995
1.45,0.0,0.55,-0.9008007249999994
1.46,0.0,0.55,-1.1044565749999995
1.47,0.0,0.55,-1.1081124249999996
1.48,0.0,0.56,-1.1117682749999995
1.49,0.0,0.56,-1.3212503599999996
1.5,0.0,0.55,-1.1249726799999995
1.51,0.0,0.55,-0.9228687649999994
1.52,0.0,0.55,-1.1265246149999995
1.53,0.0,0.55,-1.1301804649999996
1.54,0.0,0.55,-1.1338363149999995
1.55,0.0,0.54,-1.1374921649999996
1.56,0.0,0.54,-0.9353217799999993
1.57,0.0,0.55,-1.1389111599999997
1.58,0.0,0.55,-1.3483267749999999
1.59,0.0,0.55,-1.1519826249999996
1.6,0.0,0.55,-1.1556384749999997
1.61,0.0,0.55,-1.1592943249999996
1.62,0.0,0.55,-1.1629501749999998
1.6300000000000001,0.0,0.54,-1.1666060249999997
1.6400000000000001,0.0,0.54,-0.9644356399999996
1.6500000000000001,0.0,0.54,-1.1680250199999997
1.6600000000000001,0.0,0.55,-1.1716143999999997
1.67,0.0,0.55,-1.3810300149999999
1.68,0.0,0.55,-1.1846858649999998
1.69,0.0,0.55,-1.1883417149999997
1.7,0.0,0.55,-1.1919975649999999
1.71,0.0,0.55,-1.1956534149999998
1.72,0.0,0.55,-1.199309265
1.73,0.0,0.55,-1.2029651149999998
1.74,0.0,0.55,-1.206620965
1.75,0.0,0.54,-1.2102768149999998
1.76,0.0,0.55,-1.0081064299999998
1.77,0.0,0.54,-1.4175220450000001
1.78,0.0,0.55,-1.0153516599999999
1.79,0.0,0.54,-1.4247672750000002
1.8,0.0,0.54,-1.02259689
1.81,0.0,0.54,-1.2261862700000001
1.82,0.0,0.54,-1.22977565
1.83,0.0,0.54,-1.23336503
1.84,0.0,0.54,-1.23695441
1.85,0.0,0.54,-1.24054379
1.86,0.0,0.54,-1.24413317
1.87,0.0,0.54,-1.24772255
1.8800000000000001,0.0,0.54,-1.25131193
1.8900000000000001,0.0,0.54,-1.25490131
1.9000000000000001,0.0,0.54,-1.25849069
1.9100000000000001,0.0,0.54,-1.2620800699999999
1.92,0.0,0.54,-1.2656694499999999
1.93,0.0,0.53,-1.2692588299999998
1.94,0.0,0.54,-1.0670219749999996
1.95,0.0,0.54,-1.47637112
1.96,0.0,0.54,-1.2799604999999998
1.97,0.0,0.54,-1.2835498799999998
1.98,0.0,0.54,-1.2871392599999998
1.99,0.0,0.54,-1.2907286399999998
2.0,0.0,0.54,-1.2943180199999997
2.0100000000000002,0.0,0.54,-1.2979073999999997
2.02,0.0,0.54,-1.3014967799999997
2.0300000000000002,0.0,0.54,-1.3050861599999997
2.04,0.0,0.54,-1.3086755399999996
2.05,0.0,0.54,-1.3122649199999996
2.06,0.0,0.54,-1.3158542999999998
2.07,0.0,0.54,-1.3194436799999996
2.08,0.0,0.54,-1.3230330599999998
2.09,0.0,0.54,-1.3266224399999995
2.1,0.0,0.54,-1.3302118199999997
2.11,0.0,0.54,-1.3338011999999995
2.12,0.0,0.54,-1.3373905799999997
2.13,0.0,0.54,-1.3409799599999994
2.14,0.0,0.54,-1.3445693399999996
2.15,0.0,0.54,-1.3481587199999994
2.16,0.0,0.54,-1.3517480999999996
2.17,0.0,0.54,-1.3553374799999993
2.18,0.0,0.54,-1.3589268599999995
2.19,0.0,0.54,-1.3625162399999993
2.2,0.0,0.54,-1.3661056199999995
2.21,0.0,0.54,-1.3696949999999992
2.22,0.0,0.54,-1.3732843799999994
2.23,0.0,0.54,-1.3768737599999992
2.24,0.0,0.54,-1.3804631399999994
2.25,0.0,0.54,-1.3840525199999991
2.2600000000000002,0.0,0.54,-1.3876418999999993
2.27,0.0,0.54,-1.391231279999999
2.2800000000000002,0.0,0.54,-1.3948206599999993
2.29,0.0,0.54,-1.398410039999999
2.3000000000000003,0.0,0.55,-1.4019994199999992
2.31,0.0,0.55,-1.6114150349999994
2.32,0.0,0.55,-1.4150708849999991
2.33,0.0,0.55,-1.418726734999999
2.34,0.0,0.55,-1.422382584999999
2.35,0.0,0.55,-1.4260384349999988
2.36,0.0,0.55,-1.4296942849999987
2.37,0.0,0.55,-1.4333501349999986
2.38,0.0,0.55,-1.4370059849999985
2.39,0.0,0.55,-1.4406618349999984
2.4,0.0,0.55,-1.4443176849999984
2.41,0.0,0.55,-1.4479735349999983
2.42,0.0,0.55,-1.4516293849999982
2.43,0.0,0.54,-1.455285234999998
2.44,0.0,0.54,-1.253114849999998
2.45,0.0,0.54,-1.456704229999998
2.46,0.0,0.54,-1.4602936099999981
2.47,0.0,0.54,-1.4638829899999979
2.48,0.0,0.54,-1.467472369999998
2.49,0.0,0.54,-1.4710617499999978
2.5,0.0,0.54,-1.474651129999998
2.5100000000000002,0.0,0.53,-1.4782405099999978
2.52,0.0,0.53,-1.2760036549999976
2.5300000000000002,0.0,0.53,-1.4795265649999978
2.54,0.0,0.53,-1.4830494749999978
2.5500000000000003,0.0,0.53,-1.4865723849999979
2.56,0.0,0.53,-1.490095294999998
2.57,0.0,0.53,-1.493618204999998
2.58,0.0,0.53,-1.497141114999998
2.59,0.0,0.53,-1.500664024999998
2.6,0.0,0.53,-1.5041869349999981
2.61,0.0,0.53,-1.5077098449999982
2.62,0.0,0.53,-1.5112327549999982
2.63,0.0,0.53,-1.5147556649999983
2.64,0.0,0.53,-1.5182785749999983
2.65,0.0,0.53,-1.5218014849999983
2.66,0.0,0.53,-1.5253243949999984
2.67,0.0,0.53,-1.5288473049999984
2.68,0.0,0.53,-1.5323702149999985
2.69,0.0,0.52,-1.5358931249999985
2.7,0.0,0.52,-1.3335897999999984
2.71,0.0,0.52,-1.5370462399999985
2.72,0.0,0.52,-1.5405026799999983
2.73,0.0,0.52,-1.5439591199999982
2.74,0.0,0.52,-1.5474155599999981
2.75,0.0,0.52,-1.550871999999998
2.7600000000000002,0.0,0.52,-1.554328439999998
2.77,0.0,0.52,-1.5577848799999978
2.7800000000000002,0.0,0.52,-1.5612413199999977
2.79,0.0,0.52,-1.5646977599999976
2.8000000000000003,0.0,0.52,-1.5681541999999975
2.81,0.0,0.52,-1.5716106399999974
2.82,0.0,0.51,-1.5750670799999973
2.83,0.0,0.52,-1.372697284999997
2.84,0.0,0.52,-1.7819134899999975
2.85,0.0,0.51,-1.5853699299999973
2.86,0.0,0.51,-1.383000134999997
2.87,0.0,0.51,-1.5863901049999973
2.88,0.0,0.51,-1.589780074999997
2.89,0.0,0.52,-1.5931700449999973
2.9,0.0,0.52,-1.8023862499999974
2.91,0.0,0.52,-1.6058426899999971
2.92,0.0,0.52,-1.609299129999997
2.93,0.0,0.53,-1.612755569999997
2.94,0.0,0.53,-1.822038244999997
2.95,0.0,0.53,-1.6255611549999969
2.96,0.0,0.53,-1.629084064999997
2.97,0.0,0.53,-1.632606974999997
2.98,0.0,0.53,-1.636129884999997
2.99,0.0,0.53,-1.639652794999997
3.0,0.0,0.53,-1.643175704999997
3.0100000000000002,0.0,0.53,-1.6466986149999971
3.02,0.0,0.53,-1.6502215249999972
3.0300000000000002,0.0,0.53,-1.6537444349999972
3.04,0.0,0.53,-1.6572673449999973
3.0500000000000003,0.0,0.53,-1.6607902549999973
3.06,0.0,0.53,-1.6643131649999974
3.0700000000000003,0.0,0.52,-1.6678360749999974
3.08,0.0,0.52,-1.4655327499999973
3.09,0.0,0.52,-1.6689891899999973
3.1,0.0,0.52,-1.6724456299999972
3.11,0.0,0.52,-1.6759020699999971
3.12,0.0,0.52,-1.679358509999997
3.13,0.0,0.52,-1.682814949999997
3.14,0.0,0.52,-1.6862713899999968
3.15,0.0,0.53,-1.6897278299999967
3.16,0.0,0.53,-1.8990105049999968
3.17,0.0,0.53,-1.7025334149999967
3.18,0.0,0.53,-1.7060563249999967
3.19,0.0,0.53,-1.7095792349999968
3.2,0.0,0.53,-1.7131021449999968
3.21,0.0,0.54,-1.7166250549999968
3.22,0.0,0.51,-1.925974199999997
3.23,0.0,0.51,-1.1120848749999963
3.24,0.0,0.5,-1.7154748449999966
3.25,0.0,0.51,-1.5130385799999966
3.2600000000000002,0.0,0.5,-1.922188314999997
3.27,0.0,0.5,-1.5197520499999968
3.2800000000000002,0.0,0.5,-1.723075549999997
3.29,0.0,0.5,-1.726399049999997
3.3000000000000003,0.0,0.5,-1.729722549999997
3.31,0.0,0.5,-1.7330460499999971
3.3200000000000003,0.0,0.5,-1.7363695499999972
3.33,0.0,0.5,-1.7396930499999972
3.34,0.0,0.51,-1.7430165499999972
3.35,0.0,0.51,-1.9521662849999974
3.36,0.0,0.51,-1.7555562549999975
3.37,0.0,0.5,-1.7589462249999972
3.38,0.0,0.5,-1.5565099599999972
3.39,0.0,0.5,-1.7598334599999974
3.4,0.0,0.5,-1.7631569599999974
3.41,0.0,0.5,-1.7664804599999975
3.42,0.0,0.5,-1.7698039599999975
3.43,0.0,0.5,-1.7731274599999975
3.44,0.0,0.5,-1.7764509599999976
3.45,0.0,0.5,-1.7797744599999976
3.46,0.0,0.5,-1.7830979599999977
3.47,0.0,0.5,-1.7864214599999977
3.48,0.0,0.5,-1.7897449599999977
3.49,0.0,0.5,-1.7930684599999978
3.5,0.0,0.5,-1.7963919599999978
3.5100000000000002,0.0,0.5,-1.7997154599999978
3.52,0.0,0.5,-1.8030389599999979
3.5300000000000002,0.0,0.5,-1.806362459999998
3.54,0.0,0.5,-1.809685959999998
3.5500000000000003,0.0,0.5,-1.813009459999998
3.56,0.0,0.5,-1.816332959999998
3.5700000000000003,0.0,0.5,-1.819656459999998
3.58,0.0,0.5,-1.822979959999998
3.59,0.0,0.5,-1.826303459999998
3.6,0.0,0.5,-1.8296269599999981
3.61,0.0,0.5,-1.8329504599999982
3.62,0.0,0.5,-1.8362739599999982
3.63,0.0,0.5,-1.8395974599999982
3.64,0.0,0.5,-1.8429209599999983
3.65,0.0,0.5,-1.8462444599999983
3.66,0.0,0.5,-1.8495679599999983
3.67,0.0,0.5,-1.8528914599999984
3.68,0.0,0.5,-1.8562149599999984
3.69,0.0,0.5,-1.8595384599999984
3.7,0.0,0.5,-1.8628619599999985
3.71,0.0,0.5,-1.8661854599999985
3.72,0.0,0.51,-1.8695089599999986
3.73,0.0,0.51,-2.078658694999999
3.74,0.0,0.51,-1.8820486649999988
3.75,0.0,0.51,-1.8854386349999985
3.7600000000000002,0.0,0.51,-1.8888286049999987
3.77,0.0,0.51,-1.8922185749999985
3.7800000000000002,0.0,0.51,-1.8956085449999986
3.79,0.0,0.52,-1.8989985149999984
3.8000000000000003,0.0,0.52,-2.1082147199999985
3.81,0.0,0.52,-1.9116711599999985
3.8200000000000003,0.0,0.52,-1.9151275999999984
3.83,0.0,0.52,-1.9185840399999983
3.84,0.0,0.52,-1.9220404799999982
