Tempo_s,Referencia,Saida_y,Controle_u
0.0,0.0,2.7,-1.6054947800000003
0.01,0.0,2.65,-0.8004026199999994
0.02,0.0,2.61,-0.5892183449999946
0.03,0.0,2.57,-0.7835279549999994
0.04,0.0,2.48,-0.7775716849999994
0.05,0.0,2.44,0.25778163999999704
0.06,0.0,2.4,-0.7353979799999992
0.07,0.0,2.37,-0.7283117199999993
0.08,0.0,2.33,-0.9267858150000041
0.09,0.0,2.29,-0.7192342649999994
0.1,0.0,2.25,-0.7114168349999992
0.11,0.0,2.18,-0.7033335249999992
0.12,0.0,2.15,-0.07750563000000343
0.13,0.0,2.11,-0.874517384999995
0.14,0.0,2.08,-0.6655034949999994
0.15,0.0,2.05,-0.8620499600000038
0.16,0.0,1.98,-0.8583970149999951
0.17,0.0,1.95,-0.03123972000000319
0.18,0.0,1.92,-0.8269220749999993
0.19,0.0,1.89,-0.8224050199999995
0.2,0.0,1.86,-0.8176885549999995
0.21,0.0,1.83,-0.8127726800000039
0.22,0.0,1.8,-0.8076573949999994
0.23,0.0,1.77,-0.8023426999999994
0.24,0.0,1.74,-0.7968285949999994
0.25,0.0,1.72,-0.7911150799999995
0.26,0.0,1.69,-0.9910283899999996
0.27,0.0,1.67,-0.7849825249999993
0.28,0.0,1.64,-0.9845634849999996
0.29,0.0,1.61,-0.7781852699999994
0.3,0.0,1.59,-0.771607645000004
0.31,0.0,1.56,-0.9706568449999997
0.32,0.0,1.54,-0.7637468699999994
0.33,0.0,1.52,-0.9624637199999997
0.34,0.0,1.5,-0.9610476299999997
0.35000000000000003,0.0,1.47,-0.9594985999999996
0.36,0.0,1.45,-0.7519903949999995
0.37,0.0,1.43,-0.9501090149999996
0.38,0.0,1.41,-0.9480946949999995
0.39,0.0,1.37,-0.9459474349999994
0.4,0.0,1.35,-0.5320147650000038
0.41000000000000003,0.0,1.34,-0.9294686849999996
0.42,0.0,1.32,-1.1326158999999998
0.43,0.0,1.3,-0.9298704099999995
