Tempo_s,Referencia,Saida_y,Controle_u
0.0,0.0,18.11,-10.0
0.01,0.0,17.76,-2.9187853949999703
0.02,0.0,17.08,-2.8352443400000436
0.03,0.0,16.74,4.042888920000067
0.04,0.0,16.42,-2.672549850000001
0.05,0.0,16.11,-2.997381110000065
0.06,0.0,15.8,-3.125911564999953
0.07,0.0,15.5,-3.0523814500000253
0.08,0.0,15.21,-3.1826169999999863
0.09,0.0,14.92,-3.3166846850000162
0.1,0.0,14.64,-3.248824739999982
0.11,0.0,14.08,-3.384863400000013
0.12,0.0,13.81,2.4440936800000106
0.13,0.0,13.55,-3.2921877350000077
0.14,0.0,13.29,-3.432500695000005
0.15,0.0,13.04,-3.3710854349999675
0.16,0.0,12.79,-3.5137681899999986
0.17,0.0,12.56,-3.4547891949999983
0.18,0.0,12.32,-3.805800920000028
0.19,0.0,12.09,-3.549457599999995
0.2,0.0,11.87,-3.6973452349999913
0.21,0.0,11.64,-3.849530294999987
0.22,0.0,11.42,-3.5944267800000276
0.23,0.0,11.2,-3.743620689999986
0.24,0.0,10.99,-3.691352259999986
0.25,0.0,10.79,-3.8434477250000185
0.26,0.0,10.58,-3.9999735549999773
0.27,0.0,10.39,-3.749343750000018
0.28,0.0,10.19,-4.10897054500001
0.29,0.0,10.0,-3.861508174999978
0.3,0.0,9.64,-4.018542640000009
0.31,0.0,9.46,-0.47526818000001114
0.32,0.0,9.29,-4.034473030000005
0.33,0.0,9.11,-4.198307654999965
0.34,0.0,8.94,-3.955186055000005
0.35000000000000003,0.0,8.77,-4.116694230000001
0.36,0.0,8.62,-4.077072415000001
0.37,0.0,8.45,-4.447973079999992
0.38,0.0,8.3,-4.006224225
0.39,0.0,8.15,-4.374997850000028
0.4,0.0,8.01,-4.342774424999993
0.41000000000000003,0.0,7.86,-4.515380184999988
0.42,0.0,7.72,-4.2812291300000105
0.43,0.0,7.58,-4.451907259999988
0.44,0.0,7.43,-4.421654810000007
0.45,0.0,7.29,-4.184645544999993
0.46,0.0,7.16,-4.352465465000007
0.47000000000000003,0.0,7.02,-4.525181040000002
0.48,0.0,6.9,-4.291206269999988
0.49,0.0,6.64,-4.667953390000016
0.5,0.0,6.52,-1.762335579999986
0.51,0.0,6.39,-4.536556839999998
0.52,0.0,6.25,-4.304154225000002
0.53,0.0,6.12,-4.065061265000007
0.54,0.0,6.01,-4.230863960000002
0.55,0.0,5.89,-4.607455014999994
0.56,0.0,5.8,-4.377488664999998
0.5700000000000001,0.0,5.72,-4.9642033800000025
0.58,0.0,5.62,-5.156146099999999
0.59,0.0,5.51,-4.735904590000008
0.6,0.0,5.39,-4.509172144999994
0.61,0.0,5.27,-4.275882294999998
0.62,0.0,5.07,-4.241794804999998
0.63,0.0,4.99,-2.560299795000015
0.64,0.0,4.9,-4.947390204999999
0.65,0.0,4.81,-4.728122620000002
0.66,0.0,4.73,-4.708256804999985
0.67,0.0,4.67,-4.893618995000017
0.68,0.0,4.6,-5.29010189499999
0.6900000000000001,0.0,4.52,-5.080359739999993
0.7000000000000001,0.0,4.44,-4.864326059999998
0.71,0.0,4.34,-4.847760620000017
0.72,0.0,4.27,-4.419010949999989
0.73,0.0,4.19,-5.007075284999994
0.74,0.0,4.11,-4.7888480950000165
0.75,0.0,4.03,-4.770089144999998
0.76,0.0,3.95,-4.750798434999998
0.77,0.0,3.9,-4.730975964999998
0.78,0.0,3.83,-5.328100439999994
0.79,0.0,3.76,-4.913240095000003
0.8,0.0,3.68,-4.897914459999994
0.81,0.0,3.62,-4.676297300000007
0.8200000000000001,0.0,3.56,-5.065800849999999
0.8300000000000001,0.0,3.53,-5.054905579999998
0.84,0.0,3.41,-5.6610901949999946
0.85,0.0,3.35,-3.8146392850000064
0.86,0.0,3.32,-5.002348144999998
0.87,0.0,3.26,-5.607136889999994
0.88,0.0,3.19,-4.994247519999998
0.89,0.0,3.14,-4.775133095000003
0.9,0.0,3.12,-5.167205850000003
0.91,0.0,3.07,-5.776424959999999
0.92,0.0,3.0,-5.1680324249999945
0.93,0.0,2.95,-4.747655070000002
0.9400000000000001,0.0,2.93,-5.138464895000003
0.9500000000000001,0.0,2.89,-5.746421074999999
0.96,0.0,2.82,-5.3425918449999985
0.97,0.0,2.79,-4.721018029999993
0.98,0.0,2.68,-5.522283865000003
0.99,0.0,2.65,-3.876740410000001
1.0,0.0,2.62,-5.477075664999993
1.01,0.0,2.56,-5.477211510000002
1.02,0.0,2.52,-4.859669239999997
1.03,0.0,2.51,-5.253380619999998
1.04,0.0,2.49,-5.864304824999994
1.05,0.0,2.45,-5.669336325000007
1.06,0.0,2.41,-5.262582414999998
1.07,0.0,2.39,-5.255562624999998
1.08,0.0,2.33,-5.659929424999999
1.09,0.0,2.31,-4.840858344999998
1.1,0.0,2.28,-5.644693384999998
1.11,0.0,2.26,-5.442569249999994
1.12,0.0,2.21,-5.646071939999999
1.1300000000000001,0.0,2.21,-5.0319629850000025
1.1400000000000001,0.0,2.16,-6.046652854999999
1.1500000000000001,0.0,2.11,-5.032211550000003
1.16,0.0,2.09,-5.017437894999994
1.17,0.0,2.08,-5.619810594999999
1.18,0.0,2.05,-5.827876590000003
1.19,0.0,2.03,-5.424223644999994
1.2,0.0,2.0,-5.6261975249999985
1.21,0.0,2.0,-5.422212230000003
1.22,0.0,1.99,-6.035506229999999
1.23,0.0,1.94,-5.8429739949999995
1.24,0.0,1.92,-5.027070349999998
1.25,0.0,1.92,-5.628313059999999
1.26,0.0,1.87,-6.041075299999999
1.27,0.0,1.86,-5.024706365000003
1.28,0.0,1.85,-5.831310019999999
1.29,0.0,1.81,-5.837847204999998
1.3,0.0,1.78,-5.226839214999998
1.31,0.0,1.78,-5.421391579999998
1.32,0.0,1.74,-6.033223239999999
1.33,0.0,1.75,-5.221749959999999
1.34,0.0,1.73,-6.239141974999999
1.35,0.0,1.68,-5.639121754999998
1.36,0.0,1.66,-5.021489889999998
1.37,0.0,1.66,-5.621004379999998
1.3800000000000001,0.0,1.64,-6.0320383999999985
1.3900000000000001,0.0,1.61,-5.631419949999999
1.4000000000000001,0.0,1.6,-5.424842325000003
1.41,0.0,1.61,-5.8297177599999985
1.42,0.0,1.58,-6.246179195
1.43,0.0,1.59,-5.439402159999999
1.44,0.0,1.56,-6.255730655
1.45,0.0,1.53,-5.448820679999999
1.46,0.0,1.53,-5.441711294999999
1.47,0.0,1.53,-6.051881205
1.48,0.0,1.51,-6.062051115
1.49,0.0,1.5,-5.660568554999999
1.5,0.0,1.52,-5.8647792899999995
1.51,0.0,1.5,-6.48640226
1.52,0.0,1.45,-5.684853229999999
1.53,0.0,1.43,-5.065692554999999
1.54,0.0,1.41,-5.663678234999999
1.55,0.0,1.41,-5.661530974999999
1.56,0.0,1.41,-6.070903244999999
1.57,0.0,1.42,-6.080275514999999
1.58,0.0,1.39,-6.29547402
1.59,0.0,1.38,-5.487434055
1.6,0.0,1.38,-5.890847149999999
1.61,0.0,1.37,-6.100020009999999
1.62,0.0,1.33,-5.903366635000004
1.6300000000000001,0.0,1.33,-5.289168084999999
1.6400000000000001,0.0,1.34,-6.098008595
1.6500000000000001,0.0,1.32,-6.312675339999999
1.6600000000000001,0.0,1.32,-5.709929849999998
1.67,0.0,1.31,-6.118703889999999
1.68,0.0,1.28,-5.921651694999999
1.69,0.0,1.27,-5.512880559999998
1.7,0.0,1.29,-5.915562484999999
1.71,0.0,1.27,-6.5356566449999995
1.72,0.0,1.24,-5.732578804999998
1.73,0.0,1.22,-5.523541789999999
1.74,0.0,1.23,-5.720131599999998
1.75,0.0,1.2,-6.334067174999999
1.76,0.0,1.17,-5.5247642799999985
1.77,0.0,1.19,-5.515261974999999
1.78,0.0,1.2,-6.534691434999999
1.79,0.0,1.17,-6.3484276
1.8,0.0,1.15,-5.538925294999999
1.81,0.0,1.16,-5.735049814999999
1.82,0.0,1.13,-6.348520099999999
1.83,0.0,1.12,-5.538751914999998
1.84,0.0,1.14,-5.940436790000003
1.85,0.0,1.15,-6.5595338999999955
1.86,0.0,1.12,-6.372937714999999
1.87,0.0,1.1,-5.563103060000003
1.8800000000000001,0.0,1.08,-5.7588952299999985
1.8900000000000001,0.0,1.05,-5.754554459999999
1.9000000000000001,0.0,1.06,-5.544254514999999
1.9100000000000001,0.0,1.08,-6.357060099999999
1.92,0.0,1.07,-6.57575839
1.93,0.0,1.05,-5.977110914999999
1.94,0.0,1.06,-5.7725707349999995
1.95,0.0,1.07,-6.38537632
1.96,0.0,1.04,-6.398248375
1.97,0.0,1.03,-5.587881959999999
1.98,0.0,1.05,-5.988968604999999
1.99,0.0,1.04,-6.607467485
2.0,0.0,1.04,-6.008620599999999
2.0100000000000002,0.0,1.04,-6.215533479999999
2.02,0.0,1.02,-6.222446359999998
2.0300000000000002,0.0,1.01,-5.817706769999998
2.04,0.0,1.02,-6.018660474999998
2.05,0.0,1.04,-6.431200179999999
2.06,0.0,1.02,-6.649632589999999
2.07,0.0,0.99,-5.844892999999998
2.08,0.0,0.99,-5.634194234999998
2.09,0.0,1.0,-6.2407747649999985
2.1,0.0,0.99,-6.453181529999998
2.11,0.0,0.99,-6.054002294999998
2.12,0.0,0.96,-6.260582824999998
2.13,0.0,0.94,-5.6496846499999975
2.14,0.0,0.94,-5.844413299999998
2.15,0.0,0.94,-6.250661479999998
2.16,0.0,0.92,-6.256909659999998
2.17,0.0,0.91,-5.85150537
2.18,0.0,0.92,-6.051794374999997
2.19,0.0,0.92,-6.463669379999998
2.2,0.0,0.87,-6.269784619999998
2.21,0.0,0.87,-5.246768684999997
2.22,0.0,0.89,-6.252551574999997
2.23,0.0,0.86,-6.669986934999998
2.24,0.0,0.88,-5.658424059999997
2.25,0.0,0.9,-6.675792949999997
2.2600000000000002,0.0,0.88,-6.693294779999998
2.27,0.0,0.86,-5.887624609999997
2.2800000000000002,0.0,0.86,-5.881821499999997
2.29,0.0,0.89,-6.2875379199999974
2.3000000000000003,0.0,0.89,-6.910733044999998
2.31,0.0,0.87,-6.316648874999998
2.32,0.0,0.88,-5.910912234999997
2.33,0.0,0.89,-6.522521359999997
2.34,0.0,0.88,-6.534196954999998
2.35,0.0,0.91,-6.134286549999997
2.36,0.0,0.91,-6.957614614999998
2.37,0.0,0.89,-6.363663384999997
2.38,0.0,0.89,-5.958059684999998
2.39,0.0,0.89,-6.363975514999998
2.4,0.0,0.87,-6.369891344999998
2.41,0.0,0.88,-5.964154704999998
2.42,0.0,0.9,-6.575763829999998
2.43,0.0,0.9,-6.7932656599999985
2.44,0.0,0.89,-6.3992479599999985
2.45,0.0,0.89,-6.199404024999999
2.46,0.0,0.9,-6.405319854999999
2.47,0.0,0.88,-6.617061919999999
2.48,0.0,0.86,-6.011391749999999
2.49,0.0,0.87,-6.005588639999999
2.5,0.0,0.84,-6.617131294999999
2.5100000000000002,0.0,0.81,-5.805435479999998
2.52,0.0,0.82,-5.793540255
2.5300000000000002,0.0,0.84,-6.604750559999996
2.54,0.0,0.83,-6.821853569999999
2.5500000000000003,0.0,0.83,-6.221610814999999
2.56,0.0,0.85,-6.4271278249999995
2.57,0.0,0.82,-6.8442973049999996
2.58,0.0,0.79,-5.832468549999999
2.59,0.0,0.79,-5.820440385000001
2.6,0.0,0.82,-6.425691515
2.61,0.0,0.82,-7.048421349999998
2.62,0.0,0.8,-6.453871889999999
2.63,0.0,0.82,-6.047669960000002
2.64,0.0,0.83,-6.864640029999997
2.65,0.0,0.79,-6.675916805
2.66,0.0,0.79,-5.658128875000001
2.67,0.0,0.81,-6.463380004999999
2.68,0.0,0.8,-6.880283605
2.69,0.0,0.77,-6.279841439999999
2.7,0.0,0.78,-5.867680334999999
2.71,0.0,0.8,-6.67862476
2.72,0.0,0.8,-6.895461890000001
2.73,0.0,0.79,-6.50077949
2.74,0.0,0.8,-6.300270854999999
2.75,0.0,0.8,-6.71134822
2.7600000000000002,0.0,0.78,-6.516665819999999
2.77,0.0,0.76,-6.110330949999999
2.7800000000000002,0.0,0.76,-6.103863139999999
2.79,0.0,0.75,-6.508914859999999
2.8000000000000003,0.0,0.75,-6.308140344999999
2.81,0.0,0.77,-6.513125594999999
2.82,0.0,0.76,-6.929763315
2.83,0.0,0.73,-6.329055269999999
2.84,0.0,0.75,-5.916628284999998
2.85,0.0,0.78,-6.933133064999999
2.86,0.0,0.76,-7.155597019999999
2.87,0.0,0.71,-6.149129209999998
2.88,0.0,0.7,-5.525049754999998
2.89,0.0,0.73,-6.323942889999998
2.9,0.0,0.72,-7.146074494999999
2.91,0.0,0.7,-6.345100569999999
2.92,0.0,0.7,-6.138233939999998
2.93,0.0,0.7,-6.542886839999999
2.94,0.0,0.69,-6.547539739999999
2.95,0.0,0.68,-6.346366404999999
2.96,0.0,0.68,-6.3451266
2.97,0.0,0.68,-6.5496465599999985
2.98,0.0,0.67,-6.554166519999998
2.99,0.0,0.68,-6.352860244999998
3.0,0.0,0.68,-6.7631399699999974
3.0100000000000002,0.0,0.7,-6.567659929999997
3.02,0.0,0.7,-6.983832359999994
3.0300000000000002,0.0,0.69,-6.588485259999996
3.04,0.0,0.67,-6.387311924999996
3.0500000000000003,0.0,0.66,-6.180245884999998
3.06,0.0,0.66,-6.378873139999996
3.0700000000000003,0.0,0.66,-6.5832601599999965
3.08,0.0,0.67,-6.587647179999997
3.09,0.0,0.67,-6.797860434999998
3.1,0.0,0.68,-6.602313924999998
3.11,0.0,0.66,-6.8125936499999975
3.12,0.0,0.65,-6.205461139999997
3.13,0.0,0.67,-6.404021924999998
3.14,0.0,0.69,-7.019994944999999
3.15,0.0,0.69,-7.036100904999996
3.16,0.0,0.68,-6.640687334999997
3.17,0.0,0.66,-6.439447529999999
3.18,0.0,0.66,-6.232315019999997
3.19,0.0,0.69,-6.636702039999998
3.2,0.0,0.7,-7.258567764999995
3.21,0.0,0.68,-6.868980429999997
3.22,0.0,0.67,-6.2619808599999995
3.23,0.0,0.7,-6.460674584999997
3.24,0.0,0.73,-7.282606779999995
3.25,0.0,0.72,-7.304738384999997
3.2600000000000002,0.0,0.72,-6.503764459999997
3.27,0.0,0.74,-6.708550299999997
3.2800000000000002,0.0,0.75,-7.124988609999998
3.29,0.0,0.76,-6.9357336249999975
3.3000000000000003,0.0,0.78,-6.946545109999997
3.31,0.0,0.79,-7.163249299999998
3.3200000000000003,0.0,0.82,-6.974260194999998
3.33,0.0,0.83,-7.396990029999996
3.34,0.0,0.86,-7.008266804999998
3.35,0.0,0.85,-7.431262519999999
3.36,0.0,0.85,-6.631152704999997
3.37,0.0,0.83,-6.836802654999997
3.38,0.0,0.8,-6.4308001349999975
3.39,0.0,0.78,-6.218838439999999
3.4,0.0,0.78,-6.4125035699999975
3.41,0.0,0.8,-6.817688229999998
3.42,0.0,0.81,-7.234525359999999
3.43,0.0,0.78,-7.0456691949999986
3.44,0.0,0.78,-6.233574559999997
3.45,0.0,0.78,-6.838759219999998
3.46,0.0,0.79,-6.8439438799999985
3.47,0.0,0.8,-7.054954774999999
3.48,0.0,0.8,-7.066032139999999
3.49,0.0,0.79,-6.8713497399999985
3.5,0.0,0.8,-6.670841104999997
3.5100000000000002,0.0,0.79,-7.081918469999998
3.52,0.0,0.78,-6.681409834999997
3.5300000000000002,0.0,0.77,-6.680834729999997
3.54,0.0,0.76,-6.680193154999998
3.5500000000000003,0.0,0.77,-6.679485109999997
3.56,0.0,0.75,-7.090363064999998
3.5700000000000003,0.0,0.73,-6.483828784999997
3.58,0.0,0.75,-6.477161564999997
3.59,0.0,0.77,-7.293666344999997
3.6,0.0,0.74,-7.310304064999998
3.61,0.0,0.71,-6.297943549999997
3.62,0.0,0.73,-6.285383624999997
3.63,0.0,0.78,-7.301755464999998
3.64,0.0,0.77,-7.935738949999998
3.65,0.0,0.72,-6.735097374999998
3.66,0.0,0.71,-5.9110843899999965
3.67,0.0,0.74,-6.710043994999998
3.68,0.0,0.76,-7.532242069999999
3.69,0.0,0.73,-7.348813319999998
3.7,0.0,0.75,-6.336386334999997
3.71,0.0,0.74,-7.352891114999998
3.72,0.0,0.73,-6.752050129999997
3.73,0.0,0.75,-6.751142674999996
3.74,0.0,0.77,-7.367647454999997
3.75,0.0,0.76,-7.384285174999997
3.7600000000000002,0.0,0.73,-6.783577129999996
3.77,0.0,0.74,-6.371150144999995
3.7800000000000002,0.0,0.76,-7.181828689999996
3.79,0.0,0.76,-7.398399939999996
3.8000000000000003,0.0,0.76,-7.003451659999995
3.81,0.0,0.76,-7.008503379999995
3.8200000000000003,0.0,0.75,-7.013555099999995
3.83,0.0,0.75,-6.812780584999995
3.84,0.0,0.74,-7.017765834999995
3.85,0.0,0.75,-6.816924849999995
3.86,0.0,0.77,-7.227669864999995
3.87,0.0,0.77,-7.444307584999995
3.88,0.0,0.73,-7.049425774999995
3.89,0.0,0.75,-6.231239024999994
3.9,0.0,0.73,-7.447743804999995
3.91,0.0,0.71,-6.641076584999993
3.92,0.0,0.73,-6.634276424999994
3.93,0.0,0.74,-7.4506482649999946
3.94,0.0,0.72,-7.261326809999995
3.95,0.0,0.69,-6.654593119999994
3.96,0.0,0.73,-6.441900254999994
3.97,0.0,0.73,-7.869791624999995
3.98,0.0,0.7,-7.074643934999995
3.99,0.0,0.7,-6.462017539999994
4.0,0.0,0.72,-7.066670439999995
4.01,0.0,0.71,-7.482975809999996
4.0200000000000005,0.0,0.7,-6.881935414999996
4.03,0.0,0.74,-6.880828549999995
4.04,0.0,0.74,-7.908786389999997
4.05,0.0,0.73,-7.113705169999996
4.0600000000000005,0.0,0.72,-6.912797714999995
4.07,0.0,0.73,-6.911823789999995
4.08,0.0,0.73,-7.322435864999996
4.09,0.0,0.73,-7.127288174999996
4.1,0.0,0.74,-7.132140484999996
4.11,0.0,0.76,-7.342819029999997
4.12,0.0,0.74,-7.559390279999996
4.13,0.0,0.71,-6.752789529999996
4.14,0.0,0.72,-6.540229604999996
4.15,0.0,0.75,-7.350775209999997
4.16,0.0,0.74,-7.7730397549999966
4.17,0.0,0.75,-6.972198769999996
4.18,0.0,0.73,-7.382943784999996
4.19,0.0,0.71,-6.7762765649999945
4.2,0.0,0.73,-6.769476404999995
4.21,0.0,0.74,-7.585848244999996
4.22,0.0,0.73,-7.396526789999996
4.23,0.0,0.71,-6.995619334999994
4.24,0.0,0.71,-6.788819174999995
4.25,0.0,0.72,-7.193538544999996
4.26,0.0,0.68,-7.404084149999996
4.2700000000000005,0.0,0.67,-6.385565049999997
4.28,0.0,0.71,-6.984258774999995
4.29,0.0,0.68,-8.012017204999994
4.3,0.0,0.66,-6.599257869999997
4.3100000000000005,0.0,0.68,-6.792125359999995
4.32,0.0,0.68,-7.608164849999996
4.33,0.0,0.66,-7.212684809999995
4.34,0.0,0.67,-6.805552299999995
4.3500000000000005,0.0,0.71,-7.415765554999997
4.36,0.0,0.7,-8.043523984999995
4.37,0.0,0.68,-7.042417119999995
4.38,0.0,0.68,-6.835417549999997
4.39,0.0,0.7,-7.239937509999995
4.4,0.0,0.69,-7.656109939999993
4.41,0.0,0.72,-7.054936604999995
4.42,0.0,0.75,-7.877001739999995
4.43,0.0,0.72,-7.899266284999995
4.44,0.0,0.72,-6.686772829999994
4.45,0.0,0.74,-7.291558669999994
4.46,0.0,0.73,-7.7079969799999954
4.47,0.0,0.73,-7.107089524999994
4.48,0.0,0.77,-7.3119418349999945
4.49,0.0,0.77,-8.140099084999996
4.5,0.0,0.75,-7.345217274999995
4.51,0.0,0.76,-6.938682994999994
4.5200000000000005,0.0,0.76,-7.549494479999995
4.53,0.0,0.75,-7.354546199999994
4.54,0.0,0.74,-7.153771684999994
4.55,0.0,0.78,-7.152930699999994
4.5600000000000005,0.0,0.76,-8.181154419999995
4.57,0.0,0.78,-6.974686609999994
4.58,0.0,0.8,-7.791390799999995
4.59,0.0,0.77,-7.808227929999996
4.6000000000000005,0.0,0.75,-6.796066824999995
4.61,0.0,0.77,-6.989532544999995
4.62,0.0,0.79,-7.806170264999996
4.63,0.0,0.8,-7.822940924999996
4.64,0.0,0.82,-7.634018289999996
4.65,0.0,0.79,-7.8509883599999934
4.66,0.0,0.77,-6.838960194999997
4.67,0.0,0.78,-7.032558854999995
4.68,0.0,0.78,-7.643503279999996
4.69,0.0,0.77,-7.448687939999996
4.7,0.0,0.78,-7.248046364999996
4.71,0.0,0.79,-7.658990789999996
4.72,0.0,0.78,-7.670001684999996
4.73,0.0,0.8,-7.269426579999997
4.74,0.0,0.78,-7.886263709999998
4.75,0.0,0.75,-7.079928839999997
4.76,0.0,0.75,-6.867634794999997
4.7700000000000005,0.0,0.77,-7.4726200449999975
4.78,0.0,0.75,-7.889257764999998
4.79,0.0,0.75,-7.082723484999997
4.8,0.0,0.78,-7.487708734999997
4.8100000000000005,0.0,0.78,-8.110172689999999
4.82,0.0,0.77,-7.515357349999998
4.83,0.0,0.78,-7.314715774999998
4.84,0.0,0.77,-7.725660199999998
4.8500000000000005,0.0,0.79,-7.3250186249999985
4.86,0.0,0.79,-7.941789284999999
4.87,0.0,0.78,-7.547040414999999
4.88,0.0,0.81,-7.346465309999999
4.89,0.0,0.81,-8.169128675
4.9,0.0,0.79,-7.574512744999999
4.91,0.0,0.8,-7.168244344999998
4.92,0.0,0.81,-7.779321709999999
4.93,0.0,0.78,-7.790465544999998
4.94,0.0,0.77,-6.978370909999997
4.95,0.0,0.81,-7.377729334999998
4.96,0.0,0.82,-8.406152464999998
4.97,0.0,0.81,-7.8173627699999955
4.98,0.0,0.84,-7.416987075
4.99,0.0,0.8,-8.239849849999997
5.0,0.0,0.79,-6.82212839
5.01,0.0,0.81,-7.421619754999997
5.0200000000000005,0.0,0.78,-8.038523354999999
5.03,0.0,0.77,-7.026428719999997
5.04,0.0,0.8,-7.4257871449999975
5.05,0.0,0.8,-8.248384039999998
5.0600000000000005,0.0,0.81,-7.653701639999998
5.07,0.0,0.79,-7.864845474999997
5.08,0.0,0.79,-7.258577074999996
5.09,0.0,0.81,-7.663828204999997
5.1000000000000005,0.0,0.8,-8.080731804999997
5.11,0.0,0.78,-7.480289639999997
5.12,0.0,0.8,-7.273954769999997
5.13,0.0,0.81,-8.0907919
5.14,0.0,0.8,-7.901935734999998
5.15,0.0,0.82,-7.501493569999997
5.16,0.0,0.83,-8.118463639999995
5.17,0.0,0.82,-7.929740414999998
5.18,0.0,0.82,-7.529431189999997
5.19,0.0,0.84,-7.734881729999997
5.2,0.0,0.81,-8.151984739999998
5.21,0.0,0.82,-7.140089515
5.22,0.0,0.81,-7.951299819999996
5.23,0.0,0.8,-7.550924125
5.24,0.0,0.81,-7.550481959999997
5.25,0.0,0.8,-7.961625794999997
5.26,0.0,0.78,-7.561183629999997
5.2700000000000005,0.0,0.79,-7.354848759999997
5.28,0.0,0.79,-7.965859654999997
5.29,0.0,0.77,-7.771110784999998
5.3,0.0,0.77,-7.364709444999998
5.3100000000000005,0.0,0.73,-7.769827634999999
5.32,0.0,0.72,-6.951640884999997
5.33,0.0,0.75,-7.550666959999998
5.34,0.0,0.75,-8.372931504999999
5.3500000000000005,0.0,0.74,-7.777916754999998
5.36,0.0,0.76,-7.577075769999998
5.37,0.0,0.73,-8.193647019999997
5.38,0.0,0.75,-7.181220034999996
5.39,0.0,0.74,-8.197724814999997
5.4,0.0,0.71,-7.596883829999997
5.41,0.0,0.72,-7.184323904999997
5.42,0.0,0.71,-7.994869509999997
5.43,0.0,0.69,-7.5938291149999975
5.44,0.0,0.71,-7.386896014999997
5.45,0.0,0.71,-8.203134914999998
5.46,0.0,0.72,-7.807854284999998
5.47,0.0,0.73,-8.018399889999998
5.48,0.0,0.75,-8.029011964999999
5.49,0.0,0.74,-8.245516744999998
5.5,0.0,0.76,-7.6446757599999975
5.51,0.0,0.75,-8.261247009999998
5.5200000000000005,0.0,0.76,-7.660472494999997
5.53,0.0,0.73,-8.071283979999997
5.54,0.0,0.73,-7.258856994999996
5.55,0.0,0.74,-7.863709304999997
5.5600000000000005,0.0,0.73,-8.074387849999997
5.57,0.0,0.73,-7.673480394999996
5.58,0.0,0.75,-7.8783327049999965
5.59,0.0,0.74,-8.294837484999997
5.6000000000000005,0.0,0.74,-7.693996499999996
5.61,0.0,0.75,-7.898915279999996
5.62,0.0,0.74,-8.109660294999996
5.63,0.0,0.72,-7.7088193099999955
5.64,0.0,0.73,-7.5020856199999955
5.65,0.0,0.72,-8.112697694999996
5.66,0.0,0.71,-7.711723769999996
5.67,0.0,0.7,-7.710683374999997
5.68,0.0,0.68,-7.709576509999996
5.69,0.0,0.7,-7.502576939999999
5.7,0.0,0.7,-8.318749369999994
5.71,0.0,0.68,-7.923402269999996
5.72,0.0,0.7,-7.516402699999999
5.73,0.0,0.73,-8.332575129999993
5.74,0.0,0.72,-8.554706734999996
5.75,0.0,0.73,-7.753732809999996
5.76,0.0,0.72,-8.164344884999997
5.7700000000000005,0.0,0.72,-7.763370959999997
5.78,0.0,0.74,-7.968156799999997
5.79,0.0,0.72,-8.38459511
5.8,0.0,0.75,-7.577861419999998
5.8100000000000005,0.0,0.75,-8.600125965
5.82,0.0,0.74,-8.005111214999998
5.83,0.0,0.77,-7.8042702299999975
5.84,0.0,0.76,-8.626667714999996
5.8500000000000005,0.0,0.76,-7.825959669999997
5.86,0.0,0.78,-8.031011389999998
5.87,0.0,0.75,-8.447715579999999
5.88,0.0,0.74,-7.435421534999997
5.89,0.0,0.73,-7.834580549999997
5.9,0.0,0.72,-7.833673094999997
5.91,0.0,0.71,-7.832699169999997
5.92,0.0,0.72,-7.831658774999997
5.93,0.0,0.7,-8.242204379999997
5.94,0.0,0.72,-7.635337749999998
5.95,0.0,0.72,-8.451643119999998
5.96,0.0,0.72,-8.056428959999998
5.97,0.0,0.74,-8.061214799999998
5.98,0.0,0.74,-8.477653109999999
