Tempo_s,Referencia,Saida_y,Controle_u
0.0,0.0,0.77,-0.45117919000000006
0.01,0.0,0.77,-0.45629738000000003
0.02,0.0,0.77,-0.46141557000000005
0.03,0.0,0.78,-0.46653376
0.04,0.0,0.77,-0.6774781850000002
0.05,0.0,0.78,-0.27683660999999987
0.06,0.0,0.78,-0.6877810350000002
0.07,0.0,0.78,-0.49296569500000004
0.08,0.0,0.78,-0.49815035500000004
0.09,0.0,0.78,-0.503335015
0.1,0.0,0.78,-0.5085196750000001
0.11,0.0,0.78,-0.513704335
0.12,0.0,0.78,-0.5188889950000001
0.13,0.0,0.78,-0.524073655
0.14,0.0,0.78,-0.5292583150000001
0.15,0.0,0.78,-0.534442975
0.16,0.0,0.78,-0.5396276350000001
0.17,0.0,0.78,-0.5448122950000001
0.18,0.0,0.78,-0.5499969550000001
0.19,0.0,0.78,-0.5551816150000001
0.2,0.0,0.78,-0.5603662750000001
0.21,0.0,0.78,-0.5655509350000001
0.22,0.0,0.78,-0.5707355950000002
0.23,0.0,0.78,-0.5759202550000001
0.24,0.0,0.79,-0.5811049150000002
0.25,0.0,0.79,-0.7921158100000003
0.26,0.0,0.79,-0.5973669400000001
0.27,0.0,0.78,-0.6026180700000001
0.28,0.0,0.78,-0.4020429649999999
0.29,0.0,0.78,-0.6072276250000002
0.3,0.0,0.77,-0.6124122850000001
0.31,0.0,0.77,-0.41177071
0.32,0.0,0.77,-0.6168889000000002
0.33,0.0,0.77,-0.6220070900000001
0.34,0.0,0.77,-0.6271252800000001
0.35000000000000003,0.0,0.77,-0.6322434700000001
0.36,0.0,0.77,-0.63736166
0.37,0.0,0.77,-0.6424798500000001
0.38,0.0,0.77,-0.6475980400000001
0.39,0.0,0.77,-0.6527162300000001
0.4,0.0,0.77,-0.6578344200000001
0.41000000000000003,0.0,0.77,-0.66295261
0.42,0.0,0.77,-0.6680708000000001
0.43,0.0,0.77,-0.6731889900000001
0.44,0.0,0.77,-0.67830718
0.45,0.0,0.77,-0.68342537
0.46,0.0,0.76,-0.68854356
0.47000000000000003,0.0,0.76,-0.4878355149999999
0.48,0.0,0.76,-0.692887235
0.49,0.0,0.76,-0.697938955
0.5,0.0,0.76,-0.702990675
0.51,0.0,0.76,-0.708042395
0.52,0.0,0.76,-0.713094115
0.53,0.0,0.76,-0.718145835
0.54,0.0,0.76,-0.7231975549999999
0.55,0.0,0.76,-0.7282492749999999
0.56,0.0,0.76,-0.7333009949999999
0.5700000000000001,0.0,0.76,-0.7383527149999999
0.58,0.0,0.76,-0.7434044349999999
0.59,0.0,0.76,-0.7484561549999998
0.6,0.0,0.76,-0.7535078749999998
0.61,0.0,0.76,-0.7585595949999998
0.62,0.0,0.76,-0.7636113149999998
0.63,0.0,0.76,-0.7686630349999998
0.64,0.0,0.76,-0.7737147549999998
0.65,0.0,0.76,-0.7787664749999997
0.66,0.0,0.76,-0.7838181949999997
0.67,0.0,0.76,-0.7888699149999997
0.68,0.0,0.76,-0.7939216349999997
0.6900000000000001,0.0,0.76,-0.7989733549999997
0.7000000000000001,0.0,0.76,-0.8040250749999996
0.71,0.0,0.76,-0.8090767949999996
0.72,0.0,0.76,-0.8141285149999996
0.73,0.0,0.76,-0.8191802349999996
0.74,0.0,0.77,-0.8242319549999996
0.75,0.0,0.77,-1.0351099099999996
0.76,0.0,0.77,-0.8402280999999996
0.77,0.0,0.77,-0.8453462899999996
0.78,0.0,0.77,-0.8504644799999996
0.79,0.0,0.77,-0.8555826699999997
0.8,0.0,0.77,-0.8607008599999997
0.81,0.0,0.77,-0.8658190499999997
0.8200000000000001,0.0,0.77,-0.8709372399999997
0.8300000000000001,0.0,0.77,-0.8760554299999997
0.84,0.0,0.77,-0.8811736199999998
0.85,0.0,0.77,-0.8862918099999998
0.86,0.0,0.77,-0.8914099999999998
0.87,0.0,0.77,-0.8965281899999998
0.88,0.0,0.77,-0.9016463799999999
0.89,0.0,0.77,-0.9067645699999999
0.9,0.0,0.77,-0.9118827599999999
0.91,0.0,0.77,-0.9170009499999999
0.92,0.0,0.76,-0.92211914
0.93,0.0,0.76,-0.7214110949999998
0.9400000000000001,0.0,0.76,-0.9264628149999999
0.9500000000000001,0.0,0.76,-0.9315145349999999
0.96,0.0,0.76,-0.9365662549999999
0.97,0.0,0.76,-0.941617975
0.98,0.0,0.76,-0.946669695
0.99,0.0,0.77,-0.951721415
1.0,0.0,0.77,-1.1625993700000001
1.01,0.0,0.77,-0.9677175599999999
1.02,0.0,0.77,-0.9728357499999999
1.03,0.0,0.77,-0.9779539399999999
1.04,0.0,0.77,-0.9830721299999999
1.05,0.0,0.77,-0.98819032
1.06,0.0,0.77,-0.99330851
1.07,0.0,0.77,-0.9984267
1.08,0.0,0.77,-1.0035448900000001
